time,x,y,v_raw,v,v_d,a,v_des,v_d_des,a_des,throttle,throttle_des,brake,brake_des,steer
1546200924.309306,1131.23,1183.27,0.0019616316368,0.00451959026018116,-0.06799624950115178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.311082,1131.23,1183.27,0.0019616316368,0.004093263822950967,-0.06799624950115178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.322235,1131.23,1183.27,0.00046819750911999996,0.003489086103979139,-0.060145900421376054,3.7453875882981495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.342118,1131.23,1183.27,0.00046819750911999996,0.0029856046715026154,-0.05525704776891868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.358415,1131.23,1183.27,0.00046819750911999996,0.002566036811105513,-0.05525704776891868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.419181,1131.23,1183.27,0.00046819750911999996,0.0022163969274412608,-0.040810776283990935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.433875,1131.23,1183.27,0.00046819750911999996,0.0019250303577210508,-0.03692731047078787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.449115,1131.23,1183.27,0.00046819750911999996,0.001682224882954209,-0.033203597665951254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.461303,1131.23,1183.27,6.611185152e-05,0.0014128727110485075,-0.029690107167655917,1.0038020381478006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.471875,1131.23,1183.27,6.611185152e-05,0.0011884125677937563,-0.029690107167655917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.490813,1131.23,1183.27,6.611185152e-05,0.001001362448414797,-0.026612928134637056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.503451,1131.23,1183.27,6.611185152e-05,0.000845487348932331,-0.023736341262105044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.513459,1131.23,1183.27,6.611185152e-05,0.0007155914326969425,-0.023736341262105044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.524117,1131.23,1183.27,6.611185152e-05,0.0006073448358341188,-0.02086275138603675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.544264,1131.23,1183.27,6.611185152e-05,0.0005171393384484324,-0.018287499219180357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.556459,1131.23,1183.27,5.8997299328e-05,0.00044078233192836036,-0.018287499219180357,3.336308676026533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.615106,1131.23,1183.27,5.8997299328e-05,0.00037715149316163365,-0.012191045528503386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.641144,1131.23,1183.27,5.8997299328e-05,0.0003241257941893614,-0.009439863478117913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.654244,1131.23,1183.27,5.8997299328e-05,0.00027993771171246784,-0.009439863478117913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.66406,1131.23,1183.27,5.8997299328e-05,0.00024311430964838989,-0.00823471266046864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.674473,1131.23,1183.27,5.8997299328e-05,0.00021242814126165826,-0.00823471266046864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.692022,1131.23,1183.27,5.8997299328e-05,0.00018685633427271525,-0.007118018499530189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.702586,1131.23,1183.27,5.8997299328e-05,0.00016554649511526273,-0.006140530805658541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.74574,1131.23,1183.27,6.8307175552000005e-06,0.00013909386552191894,-0.0045924993887202425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.806604,1131.23,1183.27,6.8307175552000005e-06,0.00011705000752746579,-0.0032150124030142376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.824699,1131.23,1183.27,6.8307175552000005e-06,9.86801258654215e-05,-0.0028629680147122345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.835345,1131.23,1183.27,6.8307175552000005e-06,8.337189114705125e-05,-0.0028629680147122345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.844917,1131.23,1183.27,6.8307175552000005e-06,7.061502888174271e-05,-0.0025132994315641873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.869591,1131.23,1183.27,6.8307175552000005e-06,5.998431032731893e-05,-0.0022007703900522773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.891791,1131.23,1183.27,6.8307175552000005e-06,5.112537819863244e-05,-0.0019225964242209118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.914763,1131.23,1183.27,6.8307175552000005e-06,4.374293475806037e-05,-0.0016759767526860266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.946047,1131.23,1183.27,6.8307175552000005e-06,3.759089855758365e-05,-0.001276641658506355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.962255,1131.23,1183.27,2.14016913088e-06,3.168244365313304e-05,-0.0011151430121797675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200924.980218,1131.23,1183.27,2.14016913088e-06,2.6758731232757535e-05,-0.0009785130384574092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.000759,1131.23,1183.27,2.14016913088e-06,2.2655637549111278e-05,-0.0008564893462269858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.018715,1131.23,1183.27,2.14016913088e-06,1.9236392812739398e-05,-0.0008564893462269858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.043191,1131.23,1183.27,2.14016913088e-06,1.6387022199096166e-05,-0.0006468438705246232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.060891,1131.23,1183.27,2.14016913088e-06,1.4012546687726807e-05,-0.0005621198178625081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.083496,1131.23,1183.27,2.14016913088e-06,1.2033817094919006e-05,-0.000488946784414397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.097611,1131.23,1183.27,1.025923272e-06,1.0199168124432506e-05,-0.000488946784414397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.110664,1131.23,1183.27,1.025923272e-06,8.670293982360423e-06,-0.00042276283976111213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.134799,1131.23,1183.27,1.025923272e-06,7.396232197300353e-06,-0.0003650213145481956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.148836,1131.23,1183.27,1.025923272e-06,6.334514043083628e-06,-0.0003148042790282929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.173278,1131.23,1183.27,1.025923272e-06,5.4497489145696905e-06,-0.0002710977710756662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.186933,1131.23,1183.27,1.025923272e-06,4.712444640808076e-06,-0.00023335741774613644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.202845,1131.23,1183.27,1.025923272e-06,4.0980244126733976e-06,-0.00020060755123703277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.214689,1131.23,1183.27,1.025923272e-06,3.586007555894498e-06,-0.00020060755123703277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.244838,1131.23,1183.27,5.2924350336e-07,3.076546880472082e-06,-0.00014713208727555973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.299762,1131.23,1183.27,5.2924350336e-07,2.651996317620068e-06,-0.00010996150204501882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.318191,1131.23,1183.27,5.2924350336e-07,2.298204181910057e-06,-9.515668078529833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.33111,1131.23,1183.27,5.2924350336e-07,2.003377402151714e-06,-8.226090838354857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.344345,1131.23,1183.27,5.2924350336e-07,1.7576884190197616e-06,-7.100973040323561e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.365764,1131.23,1183.27,5.2924350336e-07,1.5529475997431348e-06,-6.121921214503652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.379515,1131.23,1183.27,5.2924350336e-07,1.3823302503459457e-06,-6.121921214503652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.404588,1131.23,1183.27,5.2924350336e-07,1.2401491258482882e-06,-4.511897139169329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.420385,1131.23,1183.27,5.2924350336e-07,1.1216648554335736e-06,-3.878559903931639e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.445027,1131.23,1183.27,5.2924350336e-07,1.0229279634213113e-06,-3.330810247001326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.460358,1131.23,1183.27,3.95270666912e-07,9.183184140030928e-07,-2.857918771662767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.477758,1131.23,1183.27,3.95270666912e-07,8.311437894879108e-07,-2.857918771662767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.491459,1131.23,1183.27,3.95270666912e-07,7.584982690585924e-07,-2.4542523609651476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.504554,1131.23,1183.27,3.95270666912e-07,6.979603353674936e-07,-2.1057360263283617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.52449,1131.23,1183.27,3.95270666912e-07,6.475120572915781e-07,-1.8052457945119237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546200925.538279,1131.23,1183.27,3.95270666912e-07,6.054718255616484e-07,-1.8052457945119237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
