time,x,y,v_raw,v,v_d,a,v_des,a_des,throttle,brake,steer
1546086893.645068,1131.23,1183.27,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1546086893.682177,1131.23,1183.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546086893.84882,1131.23,1183.27,0.053153100704,0.008858850117333332,0.0,-7.30848686725386e-07,0.0,0.0,0.0,0.0,0.0
1546086893.895361,1131.23,1183.27,0.135239345472,0.02992226600977778,0.07687567762469603,-2.2889395570345957e-05,0.0,0.0,0.0,0.0,0.0
1546086893.901832,1131.23,1183.27,0.135239345472,0.04747511258681482,0.07687567762469603,0.0,0.053153100704,0.0,0.0,0.0,0.0
1546086893.913401,1131.23,1183.27,0.158465800416,0.06597356055834569,0.14975269626077545,-0.00016038107584070746,0.053153100704,0.0,0.0,0.0,0.0
1546086893.920088,1131.23,1183.27,0.158465800416,0.08138893386795473,0.14975269626077545,0.0,0.053153100704,0.0,0.0,0.0,0.0
1546086893.94166,1131.23,1183.27,0.15638304105599998,0.09388795173262894,0.20614950416571004,-3.973342168508437e-05,0.158465800416,0.0,0.0,0.0,0.0
1546086893.987833,1131.23,1183.27,0.136992770464,0.10107208818785744,0.310305668591963,-4.6433562711718145e-05,0.15638304105599998,0.0,0.0,0.0,0.0
1546086893.993824,1131.23,1183.27,0.136992770464,0.10705886856721453,0.310305668591963,0.0,0.15638304105599998,0.0,0.0,0.0,0.0
1546086894.008138,1131.23,1183.27,0.10835400224000001,0.10727472417934544,0.30930191568990056,-0.00014918464185731625,0.136992770464,0.0,0.0,0.0,0.0
1546086894.05511,1131.23,1183.27,0.10835400224000001,0.10745460385612121,0.25749411215928975,0.0,0.136992770464,0.0,0.0,0.0,0.0
1546086894.061224,1131.23,1183.27,0.093385672512,0.10510978196543436,0.25749411215928975,-0.0001311855963592391,0.136992770464,0.0,0.0,0.0,0.0
1546086894.073783,1131.23,1183.27,0.065412546848,0.09849357611252864,0.22340702461811826,-0.00012618103821007378,0.093385672512,0.0,0.0,0.0,0.0
1546086894.120196,1131.23,1183.27,0.065412546848,0.09298007123510721,0.12728047162049233,0.0,0.065412546848,0.0,0.0,0.0,0.0
1546086894.126197,1131.23,1183.27,0.053123685472,0.08633734027458935,0.12728047162049233,-7.948640467690373e-05,0.065412546848,0.0,0.0,0.0,0.0
1546086894.133045,1131.23,1183.27,0.0326979718912,0.07739744554402446,0.08546983805537518,-0.00015654581218164522,0.065412546848,0.0,0.0,0.0,0.0
1546086894.141797,1131.23,1183.27,0.0326979718912,0.06994753326855371,0.08546983805537518,0.0,0.053123685472,0.0,0.0,0.0,0.0
1546086894.185737,1131.23,1183.27,0.024587124003199998,0.062387465057661434,0.005989302837287519,-5.952288182979578e-06,0.0326979718912,0.0,0.0,0.0,0.0
1546086894.199023,1131.23,1183.27,0.0122451140416,0.05403040655498453,-0.028921206800839275,-4.1116388916482045e-05,0.0326979718912,0.0,0.0,0.0,0.0
1546086894.248072,1131.23,1183.27,0.0122451140416,0.04706619113608711,-0.12562365642854076,0.0,0.0122451140416,0.0,0.0,0.0,0.0
1546086894.251715,1131.23,1183.27,0.00427102284224,0.03993366308711259,-0.12562365642854076,-3.336138687473067e-05,0.0122451140416,0.0,0.0,0.0,0.0
1546086894.255118,1131.23,1183.27,0.00427102284224,0.03398988971296716,-0.12562365642854076,0.0,0.0122451140416,0.0,0.0,0.0,0.0
1546086894.265956,1131.23,1183.27,0.00159503469664,0.028590747210245966,-0.12562365642854076,1.1425438180509768e-05,0.0122451140416,0.0,0.0,0.0,0.0
1546086894.312562,1131.23,1183.27,0.0017778977497599998,0.024121938966831638,-0.16151472753156115,0.0,0.00427102284224,0.0,0.0,0.0,0.0
